id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
154,,, 23/02/2009 ,    Undetectable,Undetectable,,Undetectable,,Cutting Tool,,,,2009
155,,, 23/03/2009 ,   No ,Undetectable,,Undetectable,,Cutting Tool,,,,2009
156,,, 23/04/2009 ,   No ,Undetectable,,Father,,Firearm,,,,2009
157,,, 23/04/2009 ,   No ,Revenge,,Someone She Does Not Know,,Firearm,,,,2009
158,,, 23/05/2009 ,   No ,Undetectable,,Husband,,Cutting Tool,,,,2009
159,,, 23/05/2009 ,   Undetectable ,Undetectable,,Someone She Does Not Know,,Cutting Tool,,,,2009
160,,, 23/09/2009 ,   No ,Undetectable,,Ex Fiancee,,Firearm,,,,2009
161,,, 24/01/2009 ,   No ,Controversy,,Husband,,Firearm,,,,2009
162,,, 24/02/2009 ,   No ,Undetectable,,Husband,,Cutting Tool,,,,2009
163,,, 25/05/2009 ,   No ,Undetectable,,Undetectable,,Piercing Tool,,,,2009
164,,, 25/07/2009 ,   No ,Undetectable,,Undetectable,,Asphyxiate,,,,2009
165,,, 26/07/2009 ,   No ,While Protecting Her Daughter,,Groom,,Firearm,,,,2009
166,,, 26/09/2009 ,   No ,Cheating Suspicion,,Boyfriend,,Assault,,,,2009
167,,, 26/10/2009 ,   Yes ,Breaking Up,,Relative,,Firearm,,,,2009
168,,, 26/10/2009 ,   No ,Undetectable,,Husband's Brother,,Cutting Tool,,,,2009
169,,, 26/11/2009 ,   No ,Controversy,,Ex Husband,,Firearm,,,,2009
170,,, 26/11/2009 ,   No ,Be rejected,,Someone She Knows,,Cutting Tool,,,,2009
171,,, 26/12/2009 ,   No ,Jealousy,,Husband,,Firearm,,,,2009
172,,, 26/12/2009 ,   Undetectable ,Having a boyfriend,,Brother,,Cutting Tool,,,,2009
173,,, 27/01/2009 ,   No ,Kidnap,,Someone She Knows,,Firearm,,,,2009
174,,, 27/04/2009 ,   No ,Undetectable,,Undetectable,,Firearm,,,,2009
175,,, 27/07/2009 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,Suicide ,2009
176,,, 27/10/2009 ,   No ,Undetectable,,Boyfriend,,Asphyxiate,,,,2009
177,,, 27/10/2009 ,   No ,Controversy,,Fiancee,,Cutting Tool,,,,2009
178,,, 28/04/2009 ,   Undetectable ,Divorce,,Husband,,Cutting Tool,,,,2009
179,,, 28/07/2009 ,   No ,Undetectable,,Husband,,Cutting Tool,,,,2009
180,,, 28/12/2009 ,   Yes ,Undetectable,,Ex Husband,,Cutting Tool,,,,2009
181,,, 28/12/2009 ,   No ,Cheating Suspicion,,Husband,,Asphyxiate,,,,2009
182,,, 29/04/2009 ,   No ,While Protecting Her Daughter,,Groom,,Firearm,,,,2009
183,,, 30/05/2009 ,   Undetectable ,Because something that a man wanted did not happen,,Father,,Cutting Tool,,,,2009
184,,, 30/07/2009 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,,2009
185,,, 30/09/2009 ,   No ,Undetectable,,Son,,Firearm,,,,2009
186,,, 30/09/2009 ,   No ,Undetectable,,Undetectable,,Firearm,,,,2009
187,,, 30/12/2009 ,   No ,Undetectable,,Husband,,Assault,,,,2009
188, Adana ,,01/01/2010,   No ,Be rejected,,Ex Boyfriend,,Firearm,,,Prisoner ,2010
189, Adana ,Adult,26/07/2010,   Undetectable ,Undetectable,,Husband,,Firearm,,,,2010
190, Adana , Adult ,04/09/2010,   No ,Undetectable,,Husband,,Cutting Tool,Assault,,Prisoner ,2010
191, Adana , Adult,01/11/2010,   Undetectable ,Because something that a man wanted did not happen,,Husband,,Firearm,,,,2010
192, Sakarya , Adult , 01/04/2010 ,   No ,Undetectable,,Husband,,Cutting Tool,,,Prisoner ,2010
193, Sakarya , Adult , 01/04/2010 ,   No ,Controversy,,Father,,Undetectable,,,Prisoner ,2010
194, Sakarya , Adult , 01/04/2010 ,   No ,Undetectable,,Husband,,Undetectable,,,Prisoner ,2010
195, Sakarya , Adult , 01/04/2010 ,   No ,Be rejected,,Someone She Knows,,Firearm,,,Suicide ,2010
196, Adiyaman , Adult , 01/04/2010 ,   No ,Controversy,,Father,,Firearm,,,Suicide ,2010
197, Adiyaman , Adult , 01/04/2010 ,   No ,Undetectable,,Undetectable,,Falling From High,,,Undetectable ,2010
198, Afyonkarahisar , Adult , 01/06/2010 ,   No ,Undetectable,,Brother,,Firearm,,,Prisoner ,2010
199, Agri ,, 01/08/2010 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2010
200, Antalya , Adult , 01/10/2010 ,   No ,Undetectable,,Someone She Knows,,Firearm,,,Investigation Continues ,2010
201, Antalya ,, 03/04/2010 ,   No ,Undetectable,,Undetectable,,Asphyxiate,,,Undetectable,2010
202, Aydin ,, 03/06/2010 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,Escape ,2010
203, Aydin , Adult , 03/06/2010 ,   No ,Controversy,,Boyfriend,,Assault,Burning,,Prisoner ,2010
204, Aydin , Adult , 03/08/2010 ,   No ,Controversy,,Husband,,Asphyxiate,,,Prisoner ,2010
205, Bolu ,, 04/05/2010 ,   No ,Undetectable,,Undetectable,,Injure,,,Undetectable ,2010
206, Bursa ,, 04/08/2010 ,   No ,Controversy,,Undetectable,,Cutting Tool,,,Prisoner ,2010
207, Bursa , Adult , 04/08/2010 ,   No ,Controversy,,Boyfriend,,Firearm,,,Prisoner ,2010
208, Bursa ,, 04/10/2010 ,   No ,Be rejected,,Someone She Knows,,Firearm,,,Suicide ,2010
209, Bursa , Undetectable , 04/10/2010 ,   Undetectable,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues,2010
210, Bursa ,, 05/01/2010 ,   No ,Controversy,,Brother,,Firearm,,,Prisoner ,2010
211, Bursa  , Adult , 05/02/2010 ,   No ,Controversy,,Husband,,Cutting Tool,,,Prisoner ,2010
212, Bursa  , Adult , 05/02/2010 ,   No ,Controversy,,Boyfriend,,Cutting Tool,,,Prisoner ,2010
213, Corlu , Adult , 05/03/2010 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2010
214, Corum , Adult , 05/03/2010 ,   No ,Controversy,,Ex Husband,,Firearm,,,Wanted ,2010
215, Corum , Adult , 05/04/2010 ,   No ,Controversy,,Husband,,Assault,,,Prisoner ,2010
216, Denizli , Adult , 05/05/2010 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2010
217, Denizli , Adult , 05/05/2010 ,   No ,Undetectable,,Boyfriend,,Assault,,,Prisoner ,2010
218, Denizli  , Underage , 05/09/2010 ,   Yes ,Undetectable,,Father,,Firearm,,,Suicide ,2010
219, Diyarbakir , Adult , 06/02/2010 ,   No ,Controversy,,Husband,,Burning,,,Prisoner ,2010
220, Diyarbakir ,, 06/02/2010 ,   No ,Controversy,,Father,,Firearm,,,Wanted ,2010
221, Edirne ,, 06/05/2010 ,   No ,Animosity,,Someone She Knows,,Firearm,,,Wanted ,2010
222, Elazig , Adult, 06/07/2010 ,   No ,Honor ,,Brother,,Asphyxiate,,,,2010
223, Elazig ,, 06/08/2010 ,   No ,Undetectable,,Undetectable,,Cutting Tool,,,Undetectable ,2010
224, Erzincan ,, 06/10/2010 ,   No ,Controversy,,Husband,,Cutting Tool,,,Prisoner ,2010
225, Erzurum ,, 06/11/2010 ,   No ,Undetectable,,Husband,,Asphyxiate,,,,2010
226, Gaziantep , Adult , 07/03/2010 ,   No ,Controversy,,Relative,,Firearm,,,Prisoner ,2010
227, Gaziantep , Adult , 07/04/2010 ,   No ,Controversy,,Boyfriend,,Firearm,,,Wanted ,2010
228, Hatay ,, 07/12/2010 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,Suicide ,2010
229, Istanbul , Adult , 08/11/2010 ,   No ,Undetectable,,Boyfriend,,Firearm,,,Suicide ,2010
230, Istanbul , Adult , 08/12/2010 ,   No ,Undetectable,,Someone She Does Not Know,,Undetectable,,,Prisoner ,2010
231, Istanbul ,, 09/02/2010 ,   No ,Undetectable,,Undetectable,,Assault,,,Undetectable ,2010
232, Istanbul , Adult , 09/04/2010 ,   No ,Controversy ,Divorce Suggestion,Husband,,Cutting Tool,,,Prisoner ,2010
233, Istanbul ,, 09/04/2010 ,   No ,Rape,,Someone She Does Not Know,,Suicide,,,Wanted ,2010
234, Istanbul , Adult , 09/05/2010 ,   No ,Controversy,,Husband,,Cutting Tool,,,Undetectable,2010
235, Istanbul , Adult , 09/07/2010 ,   No ,Controversy,,Husband,,Falling From High,,,Prisoner ,2010
236, Istanbul ,, 09/09/2010 ,   No ,Undetectable,,Undetectable,,Falling From High,,,Undetectable,2010
237, Istanbul , Adult , 09/09/2010 ,   No ,Undetectable,,Undetectable,,Falling From High,,,Investigation Continues ,2010
238, Istanbul ,, 09/11/2010 ,   No ,Because something that a man wanted did not happen,,Son,,Striking Tool,,,,2010
239, Istanbul ,, 10/03/2010 ,   No ,Be rejected,,Husband,,Cutting Tool,,,Prisoner ,2010
240, Istanbul ,, 10/03/2010 ,   No ,Jealousy,,Ex Boyfriend,,Firearm,,,Prisoner ,2010
241, Istanbul , Underage , 10/07/2010 ,   No ,Undetectable,,Brother,,Cutting Tool,,,Prisoner ,2010
242, Istanbul , Adult , 10/07/2010 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,Suicide ,2010
243, Izmir , Adult , 11/03/2010 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2010
244, Izmir , Adult , 11/06/2010 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2010
245, Izmir , Adult , 11/07/2010 ,   No , Controversy,Animosity,Someone She Knows,,Firearm,,,Prisoner ,2010
246, Izmir ,, 11/08/2010 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,Escape ,2010
247, Kahramanmaras , Adult, 12/03/2010 ,   Undetectable ,Undetectable,,Boyfriend,,Asphyxiate,,,,2010
248, Kahramanmaras , Adult , 12/03/2010 ,   No ,Undetectable,,Son,,Firearm,,,Prisoner ,2010
249, Kahramanmaras , Adult , 12/03/2010 ,   No ,Undetectable,,Ex Husband,,Firearm,,,Prisoner ,2010
250, Kahramanmaras , Adult , 12/05/2010 ,   No ,Undetectable,,Husband,,Firearm,,,Prisoner ,2010
251, Karaman , Adult , 12/06/2010 ,   No ,Be rejected,,Ex Boyfriend,,Firearm,,,Wanted ,2010
252, Kastamonu , Adult , 12/10/2010 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2010
253, Kastomonu , Adult , 12/11/2010 ,   No ,Money,,Someone She Does Not Know,,Firearm,,,Prisoner ,2010
254, Kayseri , Adult , 12/11/2010 ,   No ,Undetectable,,Undetectable,,Firearm,,,Undetectable,2010
255, Kirikkale , Adult , 13/02/2010 ,   No ,Undetectable,,Undetectable,,Burning,,,Investigation Continues ,2010
256, Kocaeli ,, 13/07/2010 ,   No ,Controversy,,Husband,,Firearm,,,Prisoner ,2010
257, Kocaeli , Adult , 13/08/2010 ,   No ,Controversy,,Son,,Firearm,,,Prisoner ,2010
258, Kocaeli , Underage , 13/09/2010 ,   No ,Undetectable,,Someone She Knows,,Asphyxiate,,,Prisoner ,2010
259, Kocaeli , Adult, 13/11/2010 ,   No ,Be rejected,,Ex Husband,,Cutting Tool,,,,2010
260, Konya , Adult, 13/12/2010 ,   No ,Controversy,,Husband,,Assault,,,Prisoner ,2010
261, Konya , Adult , 14/01/2010 ,   No ,Jealousy,,Husband,,Firearm,,,Prisoner ,2010
